had	Arg0	Fortuijn
volgde	A0	hij
gaf	A1	zijn opstelling in de programcommissie van de SDB
opstappen	Arg1	hem
had	Arg1	Fortuijn
was	ArgM-TMP	Kort na het Palingoproer
gevolgd	ArgM-CAU	door Recht voor Allen en Domela Nieuwenhuis
eindigde	A1	met de aanhangers van Domela Nieuwenhuis
werken	Arg2	uit de vereniging
overvleugelen	ArgM-DIR	door jongeren
gevraagd	AM-MNR	het manifest te ondertekenen dat voorafging aan de oprichting van de SDAP
schreef	AM-LOC	in de jaren 1882 en 1883 ' Amsterdamsche Brieven
bleef	#	waarna hij introk
blijven	ArgM-CAU	Door zijn juridische kennis
solliciteerde	Arg1	naar de functie van directeur van Het Volksdagblad
begon	AM-PRD	als zaakwaarnemer
teruggetrokken	AM-TMP	toen
pleitte	ArgM-PRD	als zijn radicale gezindheid
functioneren	#	Zijn
doen	#	het
overtuigd	Arg2	er toen van overtuigd dat onder het ' onstuimig doen ' van Fortuijn een ' praktische natuur ' schuilging
richtte	#	op
introk	Arg0	hij
was	#	er
stond	ArgM-LOC	in de beweging
wist	A1	uit ieder voorval propagandistische munt te slaan
ontving	ArgM-DIS	Ter gelegenheid van zijn tachtigste verjaardag in dat jaar
speelde	ArgM-TMP	In werkelijkheid
was	Arg1	zijn naam
woonde	ArgM-LOC	waar hij met zijn vrouw en zijn moeder in de Tuinstraat woonde
opgenomen	A2	in het provinciaal ziekenhuis Duin en Bosch in Castricum , dat gespecialiseerd was in psychiatrische behandelingen
trad	AM-MNR	met anderen in Amsterdam de Arbeiderscoöperatie De Dageraad
aangezet	A1	door J. Rot , met hem in het bestuur zitting te nemen
revolutioneren	ArgM-TMP	eerst
gelogenstraft	Arg1	Het wantrouwen
komen	A1	van de afdeling
slingeren	Arg2	het publiek
sprak	ArgM-NEG	binnensmonds
stelde	#	matigen of ontslag
publiceerde	Arg0	hij
nemen	Arg2	in de commissie van de SDAP plaats te nemen , die de positie van de verbruikscoöperatie moest bestuderen , en richtte in 1901
trokken	ArgM-TMP	om die te molesteren
dwong	Arg1	hem
maakte	Arg1	kennis
aanvaard	#	als rechtskundig adviseur bij het Bureau voor Arbeidsrecht van de Amsterdamsche Bestuurdersbond
werd	Arg1	Fortuijn
maken	ArgM-MNR	met het geld
staan	ArgM-TMP	Ondertussen
sprak	ArgM-TMP	op de eerste openbare bijeenkomst
was	#	gespecialiseerd was in psychiatrische behandelingen
sprak	Arg1	over ' Vuist - of Stemrecht
maakte	Arg1	met Marie Mater , een dochter van zijn strijdmakker uit de tijd van het Volkspark Jan Mater
was	ArgM-EXT	de oude Gerhard , maar Fortuijn
kreeg	Arg1	Fortuijn
wist	AM-TMP	Toen deze Fortuijn zag zitten met zijn ' fleurige puntbaard ' en ' levendige ogen ' en zijn ' radde spraakje ' hoorde
kwamen	Arg2	in contact met socialisten en de geheime vrijdenkersorganisatie Vox Populi
zag	ArgM-TMP	Hoewel zijn afdeling hem opnieuw kandidaat stelde
wist	A1	de zaak volop in de publiciteit te krijgen
bleef	#	Hij
was	#	een berucht spreker
wonen	ArgM-TMP	inmiddels
bezocht	Arg1	de partijcongressen
werkte	Arg0	die
was	ArgM-ADV	komen
geboren	ArgM-TMP	op 3 september 1855
ontstonden	Arg1	Ernstige moeilijkheden met betrekking tot die uitgave
verspreidde	AM-TMP	Tijdens het Palingoproer in 1886
vernietigde	Arg1	dit vonnis
vestigde	AM-REC	zich
had	ArgM-PRD	Zelf
kwam	ArgM-TMP	In het laatste jaar
keerde	ArgM-TMP	In 1913
gewerkt	ArgM-LOC	bij wie
zorgde	#	dat deze op kantoor kwam
richtten	AM-TMP	Om het politieke leven een impuls te geven
daalde	Arg0	Fortuijns propagandistische waarde
krijgen	Arg0	Fortuijn
schreef	AM-TMP	In 1878
leidde	A1	de afdeling
voorbijging	Arg0	die
bemoeilijkt	Arg0	door zijn gezondheid
werd	ArgM-TMP	in 1900
hanteerde	Arg1	de spot
was	ArgM-LOC	bij zijn huwelijk
openbaarde	ArgM-TMP	In 1884 , het sterfjaar van zijn vader
veroordeelden	#	de
gevestigd	A2	in de Jordaan
was	#	Fortuijn
was	#	Zijn eerste uitgave
harden	ArgM-TMP	soms
gingen	Arg4	aan diggelen
werd	#	hij
werd	#	Fortuijn
hertrouwde	Arg0	hij
gehouden	ArgM-PNC	Hiervoor
stelde	ArgM-TMP	opnieuw
steunde	A0	hij
trad	AM-TMP	Op 14 oktober 1885
bleef	ArgM-TMP	Na de scheuring in 1909
afgezien	Arg2	van een korte onderbreking in 1898
kwam	ArgM-PRD	als een verrassing
voorafging	Arg1	aan de oprichting van de SDAP
schuilging	Arg0	een ' praktische natuur
nam	A1	ontslag
geciteerd	Arg0	door Vliegen
huren	ArgM-TMP	zodat zaalafdrijving niet meer dreigde
werd	#	W. van Ravesteyn
bestuderen	Arg0	die
werd	#	Willem III
molesteren	Arg1	die
was	#	van Fortuijn was medeoprichter van de metselaarsvereniging Door eendracht saâmgebracht , die zich aansloot bij de Eerste Internationale
nemen	A2	in het bestuur
wisten	A0	de niet-socialistische leden
ging	Arg0	hij
hield	AM-TMP	Na het Kerstcongres van 1892
omschreven	Arg1	Fortuijn
hielp	AM-ADV	zelfs
bedoelde	Arg1	wat
dreigde	#	zaalafdrijving
worden	#	zijn enig kind
verhuisde	ArgM-TMP	In 1898
verstaan	A0	men
bedankte	AM-TMP	enkele dagen later
was	#	failliet was gegaan
veroordeeld	Arg2	tot twee weken cel
afgesloten	ArgM-LOC	in de Jordaan
bleef	#	Hij
werd	ArgM-TMP	Korte tijd later
geschokt	Arg1	hem
verklaarde	AM-REC	zich
was	#	Hij
bepleitte	ArgM-MNR	Met Vliegen
werken	#	het
zetten	AM-REC	zich
begon	A0	Deze
trad	Arg0	Hij
waren	#	de meest succesvolle in haar geschiedenis
was	#	Fortuijn
stond	A1	kandidaat voor de Tweede Kamer
was	#	gespannen
omgezet	A2	in april 1903
bedenken	#	het
was	Arg1	wiens moeder
hebben	Arg0	hij
gesteld	ArgM-TMP	toen hij eind 1885 sprak en relletjes uitbraken , werd hij verantwoordelijk gesteld
hoorde	Arg0	zijn ' radde spraakje
wist	A1	in 1886 voor de Sociaal-Democratische Bond ( SDB ) het Volkspark te huren , zodat zaalafdrijving niet meer dreigde
luisterden	ArgM-MNR	gretig
bouwde	Arg0	Joan Nieuwenhuis
voorzag	A0	Hij
nam	A0	Henri Polak
was	Arg1	aanwezig op het Internationaal Vrijdenkerscongres in 1883 in Amsterdam
had	Arg0	Hij
werd	#	Eigenaar
draaide	ArgM-TMP	spoedig
was	#	de zoon van Jan Fortuijn , metselaar , en Antoinetta Frederica Petronella van der Huur
werd	#	hij
versloeg	A0	Fortuijn , die toen 28 jaar oud was en als klerk bij het advocatenkantoor van Wertheim en Gomperts werkte
werd	#	uitgever van het blad De Nieuwe Tijd , waarvan hij in het begin tevens als medewerker werd genoemd
was	#	Die opstelling
Vliegen	AM-TMP	Dageraad ( Amsterdam 19223 ) I
was	#	een knap organisator
scholden	#	uit
deed	ArgM-LOC	In plaats daarvan
keerde	AM-MNR	terug
gebruikten	ArgM-EXT	veelvuldig
werd	Arg1	Fortuijn , wiens moeder gelovig was
overlijden	#	haar
weigerden	AM-TMP	Toen Fortuijn in februari 1892 tot secretaris van de Centrale Raad was gekozen
werd	Arg1	Fortuijn
ging	AM-TMP	Na zijn herstel
gewijzigd	ArgM-TMP	gepubliceerd in : BWSA 4 ( 1990 ) , p. 46-53 Laatst
leverde	ArgM-LOC	Buiten Amsterdam
is	#	geboren te Amsterdam op 3 september 1855 en overleden te Castricum op 9 oktober 1940
kwam	Arg4	op de achtergrond
ging	#	als één van de ' twaalf apostelen ' van de SDAP
nam	ArgM-ADV	Namens deze afdeling
aangeduid	AM-LOC	waarin
werd	#	zwaar ziek
publiceerde	Arg1	weinig
wist	AM-CAU	Door zijn juridische kennis wist hij meestal buiten bereik van justitie te blijven
voorhield	Arg0	hij
werd	Arg1	hij
was	#	28 jaar oud
was	#	in februari 1892 tot secretaris van de Centrale Raad was gekozen
verschijnen	#	het
vond	Arg0	die
ging	Arg1	De benoeming
gemaakt	Arg1	groot
kwam	Arg4	op kantoor
aansloot	A1	bij de Eerste Internationale
werd	#	hij
gestichte	Arg0	door Fortuijn
kennen	A1	Fortuijn
bemande	Arg0	hij
zorgde	Arg0	hij
organiseren	ArgM-NEG	eerst
overleden	ArgM-TMP	op 9 oktober 1940
richtte	ArgM-TMP	in 1901
slaan	A0	Hij
ondertekenen	Arg1	het manifest te ondertekenen dat voorafging aan de oprichting van de SDAP
gekregen	Arg0	een ' heer
Schreef	A1	zijn naam
sprak	Arg0	hij
gevreesd	ArgM-PNC	voor zijn leven
voorbereid	ArgM-CAU	door soms levenslangen harden
presenteerde	ArgM-REC	zich
ging	Arg0	zijn echte belangstelling
uitbraken	A0	relletjes
gekend	A1	Veel geluk van hun huwelijk in 1920
herhalende	#	het
was	#	Dit
genoemd	ArgM-DIS	tevens
kreeg	#	met wie
samengevoegd	Arg2	met afdeling I
bleef	#	Dit huwelijk
geven	ArgM-TMP	het politieke leven
voorzien	A1	in het bestaan
werd	ArgM-NEG	niet
stond	ArgM-MNR	aanvankelijk sceptisch
